Year,Population,Yearly% Change,Yearly Change,Migrants (net),Median Age,Fertiliy Rate,Density(/km2),Urban Pop,Urban Population,Country's Share of World Pop,World Population,Global Rank
1955,29,048,395,0.69 %,195,732,-101,007,28.6,2.53,58,54.4 %,15,792,936,1.05 %,2,773,019,936,17
1960,30,402,411,0.92 %,270,803,-91,005,29.2,2.70,61,56.7 %,17,246,904,1.00 %,3,034,949,748,18
1965,32,146,263,1.12 %,348,770,-38,761,30.0,2.81,64,61.5 %,19,756,731,0.96 %,3,339,583,597,17
1970,33,883,749,1.06 %,347,497,-29,187,29.8,2.84,68,66.2 %,22,440,001,0.92 %,3,700,437,046,22
1975,35,879,209,1.15 %,399,092,19,398,29.9,2.85,72,69.8 %,25,028,014,0.88 %,4,079,480,606,22
1980,37,698,196,0.99 %,363,797,15,381,30.4,2.55,76,73.0 %,27,511,836,0.85 %,4,458,003,514,24
1985,38,733,876,0.54 %,207,136,-8,658,31.6,1.88,78,74.4 %,28,821,455,0.80 %,4,870,921,740,25
1990,39,202,525,0.24 %,93,730,-13,536,33.4,1.46,79,75.6 %,29,617,580,0.74 %,5,327,231,061,26
1995,39,787,419,0.30 %,116,979,63,854,35.5,1.28,80,76.1 %,30,259,317,0.69 %,5,744,212,979,28
2000,40,824,754,0.52 %,207,467,186,214,37.6,1.19,82,76.4 %,31,194,106,0.66 %,6,143,493,823,28
2005,44,019,123,1.52 %,638,874,581,642,39.1,1.28,88,77.3 %,34,028,496,0.67 %,6,541,907,027,28
2010,46,931,015,1.29 %,582,378,454,770,40.0,1.45,94,78.2 %,36,702,035,0.67 %,6,956,823,603,27
2015,46,671,926,-0.11 %,-51,818,-104,088,42.5,1.33,94,79.1 %,36,933,458,0.63 %,7,379,797,139,30
2016,46,634,140,-0.08 %,-37,786,40,000,43.0,1.33,93,79.3 %,37,003,839,0.62 %,7,464,022,049,30
2017,46,647,428,0.03 %,13,288,40,000,43.0,1.33,94,79.6 %,37,120,403,0.62 %,7,547,858,925,30
2018,46,692,858,0.10 %,45,430,40,000,43.0,1.33,94,79.8 %,37,267,072,0.61 %,7,631,091,040,30
2019,46,736,776,0.09 %,43,918,40,000,43.0,1.33,94,80.1 %,37,415,111,0.61 %,7,713,468,100,30
2020,46,754,778,0.04 %,18,002,40,000,44.9,1.33,94,80.3 %,37,543,537,0.60 %,7,794,798,739,30
2025,46,577,094,-0.08 %,-35,537,40,000,47.3,1.33,93,81.6 %,37,995,950,0.57 %,8,184,437,460,34
2030,46,230,140,-0.15 %,-69,391,40,000,49.6,1.33,93,83.1 %,38,419,742,0.54 %,8,548,487,400,36
2035,45,780,170,-0.20 %,-89,994,40,000,51.4,1.33,92,84.7 %,38,784,560,0.52 %,8,887,524,213,37
2040,45,224,891,-0.24 %,-111,056,38,868,52.6,1.33,91,86.4 %,39,069,987,0.49 %,9,198,847,240,39
2045,44,536,596,-0.31 %,-137,659,38,931,53.2,1.33,89,88.0 %,39,194,161,0.47 %,9,481,803,274,45
2050,43,637,410,-0.41 %,-179,837, ,53.2,1.33,87,89.5 %,39,072,958,0.45 %,9,735,033,990,47
